Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
156,DALIAN MARITIME UNIVERSITY,CHINA,1207,25976,21.52,43,38.8701106,121.5230701
157,KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,SAUDI ARABIA,1385,25934,18.72,14,22.3223754,39.1173835
158,LANCASTER UNIVERSITY,ENGLAND,906,25899,28.59,27,54.0098429,-2.7875768
159,VIT VELLORE,INDIA,1757,25863,14.72,29,12.9697279,79.1606943
160,HANGZHOU DIANZI UNIVERSITY,CHINA,2002,25794,12.88,29,30.3033132,120.3741385
161,FUDAN UNIVERSITY,CHINA,2258,25758,11.41,23,31.3011648,121.4980876
162,HELMHOLTZ ASSOCIATION,GERMANY (FED REP GER),1741,25712,14.77,24,51.5,10.5
163,ANHUI UNIVERSITY,CHINA,1582,25700,16.25,28,31.8471874,117.2501341
164,BEIJING UNIVERSITY OF TECHNOLOGY,CHINA,2157,25207,11.69,28,39.8739143,116.4772024
165,UNIVERSITY OF HOUSTON,USA,1185,25204,21.27,34,29.7207902,-95.3440627
165,UNIVERSITY OF HOUSTON SYSTEM,USA,1185,25204,21.27,34,37.570304,-77.537784
167,UNIVERSITY OF FLORIDA,USA,1464,24829,16.96,16,29.6411884,-82.3562296
168,KU LEUVEN,BELGIUM,1538,24669,16.04,22,50.8057128,3.2915374
169,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT),AUSTRALIA,1278,24556,19.21,25,-25.0,135.0
170,UNIVERSITY OF TEXAS AT SAN ANTONIO (UTSA),USA,1108,24506,22.12,29,,
171,TEXAS A&M UNIVERSITY SYSTEM,USA,1615,24432,15.13,18,,
172,KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY (KAIST),SOUTH KOREA,2011,24400,12.13,12,36.3697191,127.362537
173,CARLETON UNIVERSITY,CANADA,1171,24303,20.75,36,45.3858581,-75.6950041
174,UNIVERSITAT POLITECNICA DE CATALUNYA,SPAIN,2070,24221,11.7,8,41.82046,1.86768
175,TEMPLE UNIVERSITY,USA,760,24210,31.86,14,39.981188,-75.1562828
176,BRUNEL UNIVERSITY,ENGLAND,865,23994,27.74,28,51.5326092,-0.4740499
177,YONSEI UNIVERSITY,SOUTH KOREA,1741,23650,13.58,35,37.2800965,127.901503
178,SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY CAS,CHINA,1297,23601,18.2,29,35.0,105.0
179,POLYTECHNIC UNIVERSITY OF MILAN,ITALY,1655,23574,14.24,24,45.4798585,9.2282438
180,LINKOPING UNIVERSITY,SWEDEN,782,23556,30.12,40,58.3977911,15.5754544
181,UNIVERSITY OF PADUA,ITALY,1158,23495,20.29,21,45.40797,11.88586
182,ARIZONA STATE UNIVERSITY,USA,1276,23313,18.27,17,33.4213174,-111.9331631
183,SOUTHWEST UNIVERSITY - CHINA,CHINA,1268,23235,18.32,29,35.0,105.0
184,ROYAL INSTITUTE OF TECHNOLOGY,SWEDEN,1461,23178,15.86,18,59.3498665,18.0706321
